Expense,Planned/Rea,Type,Date,Month,Year,Amount,Comments,Account
Car Service,Rea,🚗 Car,01/11/24,11,2024,-10500,diesel filter + pump change,Joint
Car Service,Rea,🚗 Car,01/12/24,12,2024,0,,Joint
Ejer afgifter,Rea,🚗 Car,01/01/24,1,2024,,,Joint
Ejer afgifter,Rea,🚗 Car,01/02/24,2,2024,,,Joint
Ejer afgifter,Rea,🚗 Car,01/03/24,3,2024,-2790,,Joint
Ejer afgifter,Rea,🚗 Car,01/09/24,9,2024,-2790,,Joint
Misc,Rea,🚗 Car,01/01/24,1,2024,,,Joint
Misc,Rea,🚗 Car,01/02/24,2,2024,,,Joint
Misc,Rea,🚗 Car,01/03/24,3,2024,,,Joint
Misc,Rea,🚗 Car,01/05/24,5,2024,,,Joint
Misc,Rea,🚗 Car,01/06/24,6,2024,,,Joint
Misc,Rea,🚗 Car,01/07/24,7,2024,-514,,Joint
Misc,Rea,🚗 Car,01/08/24,8,2024,-1471,"PK Fine, Fine France",Joint
Misc,Rea,🚗 Car,01/09/24,9,2024,,,Joint
Misc,Rea,🚗 Car,01/10/24,10,2024,,,Joint
Misc,Rea,🚗 Car,01/11/24,11,2024,0,,Joint
Misc,Rea,🚗 Car,01/12/24,12,2024,0,,Joint
Gasoline,Rea,🚗 Car,01/01/24,1,2024,-706,,Joint
Gasoline,Rea,🚗 Car,01/02/24,2,2024,-626,Anna,Joint
Gasoline,Rea,🚗 Car,01/03/24,3,2024,-500,,Joint
Gasoline,Rea,🚗 Car,01/05/24,5,2024,0,Gas is under Travelling here,Joint
Gasoline,Rea,🚗 Car,01/06/24,6,2024,-680,Anna,Joint
Gasoline,Rea,🚗 Car,01/07/24,7,2024,-671,,Joint
Gasoline,Rea,🚗 Car,01/08/24,8,2024,-941,,Joint
Gasoline,Rea,🚗 Car,01/09/24,9,2024,-625,,Joint
Gasoline,Rea,🚗 Car,01/10/24,10,2024,-634,,Joint
Gasoline,Rea,🚗 Car,01/11/24,11,2024,-676,,Joint
Gasoline,Rea,🚗 Car,01/12/24,12,2024,-646,,Joint
Misc,Rea,🚗 Car,01/01/24,1,2024,,,Joint
Misc,Rea,🚗 Car,01/02/24,2,2024,,,Joint
Misc,Rea,🚗 Car,01/03/24,3,2024,,,Joint
Misc,Rea,🚗 Car,01/05/24,5,2024,,,Joint
Misc,Rea,🚗 Car,01/06/24,6,2024,,,Joint
Misc,Rea,🚗 Car,01/07/24,7,2024,,,Joint
Misc,Rea,🚗 Car,01/08/24,8,2024,-1500,"Car Radio,Automatic PK clock",Joint
Misc,Rea,🚗 Car,01/09/24,9,2024,-800,Joana's Car seat,Joint
Misc,Rea,🚗 Car,01/10/24,10,2024,,,Joint
Misc,Rea,🚗 Car,01/11/24,11,2024,-103,Parking Lyngby,Joint
Misc,Rea,🚗 Car,01/12/24,12,2024,-176,parking,Joint
Insurance,Rea,🚗 Car,01/01/24,1,2024,-640,,Joint
Insurance,Rea,🚗 Car,01/02/24,2,2024,-640,,Joint
Insurance,Rea,🚗 Car,01/03/24,3,2024,-640,,Joint
Insurance,Rea,🚗 Car,01/05/24,5,2024,-640,,Joint
Insurance,Rea,🚗 Car,01/06/24,6,2024,-640,,Joint
Insurance,Rea,🚗 Car,01/07/24,7,2024,-705,,Joint
Insurance,Rea,🚗 Car,01/08/24,8,2024,-725,,Joint
Insurance,Rea,🚗 Car,01/09/24,9,2024,-725,,Joint
Insurance,Rea,🚗 Car,01/10/24,10,2024,-725,,Joint
Insurance,Rea,🚗 Car,01/10/24,10,2024,380,Bonus,Joint
Insurance,Rea,🚗 Car,01/11/24,11,2024,-725,,Joint
Insurance,Rea,🚗 Car,01/12/24,12,2024,-725,,Joint
Clothes,Rea,👨 Carlos,01/01/24,1,2024,-700,,Personal
Flight Tickets,Rea,👨 Carlos,01/01/24,1,2024,0,,Personal
Bars & Restaurants,Rea,👨 Carlos,01/01/24,1,2024,-1277,,Personal
Music Forening,Rea,👨 Carlos,01/01/24,1,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/01/24,1,2024,0,,Personal
Travel personal,Rea,👨 Carlos,01/01/24,1,2024,0,,Personal
Clothes,Rea,👨 Carlos,01/02/24,2,2024,0,,Personal
Flight Tickets,Rea,👨 Carlos,01/02/24,2,2024,0,,Personal
Bars & Restaurants,Rea,👨 Carlos,01/02/24,2,2024,-650,,Personal
Music Forening,Rea,👨 Carlos,01/02/24,2,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/02/24,2,2024,0,,Personal
Travel personal,Rea,👨 Carlos,01/02/24,2,2024,0,,Personal
Clothes,Rea,👨 Carlos,01/03/24,3,2024,0,,Personal
Flight Tickets,Rea,👨 Carlos,01/03/24,3,2024,0,,Personal
Bars & Restaurants,Rea,👨 Carlos,01/03/24,3,2024,-1300,,Personal
Music Forening,Rea,👨 Carlos,01/03/24,3,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/03/24,3,2024,0,,Personal
Travel personal,Rea,👨 Carlos,01/03/24,3,2024,0,,Personal
Clothes,Rea,👨 Carlos,01/04/24,4,2024,0,,Personal
Flight Tickets,Rea,👨 Carlos,01/04/24,4,2024,0,,Personal
Subscriptions,Rea,👨 Carlos,01/04/24,4,2024,-150,Tennis Membership,Personal
Bars & Restaurants,Rea,👨 Carlos,01/04/24,4,2024,-600,,Personal
Music Forening,Rea,👨 Carlos,01/04/24,4,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/04/24,4,2024,-300,,Personal
Travel personal,Rea,👨 Carlos,01/04/24,4,2024,0,,Personal
Clothes,Rea,👨 Carlos,01/05/24,5,2024,0,,Personal
Flight Tickets,Rea,👨 Carlos,01/05/24,5,2024,0,,Personal
Misc,Rea,👨 Carlos,01/05/24,5,2024,-16000,New Computer,Personal
Bars & Restaurants,Rea,👨 Carlos,01/05/24,5,2024,-790,,Personal
Music Forening,Rea,👨 Carlos,01/05/24,5,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/05/24,5,2024,0,,Personal
Travel personal,Rea,👨 Carlos,01/05/24,5,2024,-1200,Weekend in Nuria,Personal
Clothes,Rea,👨 Carlos,01/06/24,6,2024,-596,Amazon,Personal
Flight Tickets,Rea,👨 Carlos,01/06/24,6,2024,0,,Personal
Bars & Restaurants,Rea,👨 Carlos,01/06/24,6,2024,-900,,Personal
Music Forening,Rea,👨 Carlos,01/06/24,6,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/06/24,6,2024,0,,Personal
Travel personal,Rea,👨 Carlos,01/06/24,6,2024,0,,Personal
Clothes,Rea,👨 Carlos,01/07/24,7,2024,-500,,Personal
Flight Tickets,Rea,👨 Carlos,01/07/24,7,2024,0,,Personal
Bars & Restaurants,Rea,👨 Carlos,01/07/24,7,2024,-369,,Personal
Music Forening,Rea,👨 Carlos,01/07/24,7,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/07/24,7,2024,-300,,Personal
Travel personal,Rea,👨 Carlos,01/07/24,7,2024,0,,Personal
Clothes,Rea,👨 Carlos,01/08/24,8,2024,-268,,Personal
Flight Tickets,Rea,👨 Carlos,01/08/24,8,2024,0,,Personal
Bars & Restaurants,Rea,👨 Carlos,01/08/24,8,2024,0,,Personal
Music Forening,Rea,👨 Carlos,01/08/24,8,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/08/24,8,2024,0,,Personal
Travel personal,Rea,👨 Carlos,01/08/24,8,2024,0,,Personal
Clothes,Rea,👨 Carlos,01/09/24,9,2024,-1651,Decathlon shopping,Personal
Flight Tickets,Rea,👨 Carlos,01/09/24,9,2024,-3104,Barcelona,Personal
Bars & Restaurants,Rea,👨 Carlos,01/09/24,9,2024,,,Personal
Music Forening,Rea,👨 Carlos,01/09/24,9,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/09/24,9,2024,0,,Personal
Travel personal,Rea,👨 Carlos,01/09/24,9,2024,-1500,Carros de foc,Personal
Presents,Rea,👩 Anna,01/01/24,1,2024,,,Anna
Presents,Rea,👩 Anna,01/02/24,2,2024,,,Anna
Presents,Rea,👩 Anna,01/03/24,3,2024,,,Anna
Cleaning,Rea,🏠 Home,01/04/24,4,2024,-1600,,Joint
Presents,Rea,👩 Anna,01/05/24,5,2024,,,Anna
Presents,Rea,👩 Anna,01/06/24,6,2024,-500,Imerco,Anna
Presents,Rea,👩 Anna,01/07/24,7,2024,,,Anna
Presents,Rea,👩 Anna,01/08/24,8,2024,-400,Wedding,Anna
Presents,Rea,👩 Anna,01/09/24,9,2024,,,Anna
Presents,Rea,👩 Anna,01/10/24,10,2024,,,Anna
Clothes,Rea,👨 Carlos,01/10/24,10,2024,0,,Personal
Flight Tickets,Rea,👨 Carlos,01/10/24,10,2024,0,,Personal
Bars & Restaurants,Rea,👨 Carlos,01/10/24,10,2024,-1200,,Personal
Furniture Misc,Rea,🏠 Home,01/04/24,4,2024,-170,tomatoes for garden,Joint
Music Forening,Rea,👨 Carlos,01/10/24,10,2024,-260,,Personal
Rejsekort,Rea,👨 Carlos,01/10/24,10,2024,-300,,Personal
Travel personal,Rea,👨 Carlos,01/10/24,10,2024,0,,Personal
Clothes,Rea,👨 Carlos,01/11/24,11,2024,0,,Personal
Presents,Rea,👨 Carlos,01/11/24,11,2024,-900,Bike lights for Anna,Personal
Bars & Restaurants,Rea,👨 Carlos,01/11/24,11,2024,-550,Beers / Kebabs,Personal
Music Forening,Rea,👨 Carlos,01/11/24,11,2024,-252,,Personal
Rejsekort,Rea,👨 Carlos,01/11/24,11,2024,-300,,Personal
Activities,Rea,🎉 Entertainment,01/01/24,1,2024,,,Joint
Activities,Rea,🎉 Entertainment,01/02/24,2,2024,,,Joint
Activities,Rea,🎉 Entertainment,01/03/24,3,2024,,,Joint
Rent,Rea,🏠 Home,01/04/24,4,2024,-12400,,Joint
Activities,Rea,🎉 Entertainment,01/05/24,5,2024,,,Joint
Activities,Rea,🎉 Entertainment,01/06/24,6,2024,,,Joint
Activities,Rea,🎉 Entertainment,01/07/24,7,2024,,,Joint
Activities,Rea,🎉 Entertainment,01/08/24,8,2024,-395,Planetarium,Joint
Activities,Rea,🎉 Entertainment,01/09/24,9,2024,-2500,Marinlyst,Joint
Activities,Rea,🎉 Entertainment,01/10/24,10,2024,,,Joint
Activities,Rea,🎉 Entertainment,01/11/24,11,2024,0,,Joint
Activities,Rea,🎉 Entertainment,01/12/24,12,2024,-177,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/01/24,1,2024,-1000,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/02/24,2,2024,-1000,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/03/24,3,2024,-1000,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/05/24,5,2024,-5294,Road trip,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/06/24,6,2024,-2068,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/07/24,7,2024,-1909,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/08/24,8,2024,-1423,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/09/24,9,2024,-2500,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/10/24,10,2024,-1256,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/11/24,11,2024,-300,,Joint
Bars & Restaurants,Rea,🎉 Entertainment,01/12/24,12,2024,-3028,,Joint
Netflix,Rea,🎉 Entertainment,01/01/24,1,2024,,,Joint
Netflix,Rea,🎉 Entertainment,01/02/24,2,2024,,,Joint
Netflix,Rea,🎉 Entertainment,01/03/24,3,2024,,,Joint
Netflix,Rea,🎉 Entertainment,01/05/24,5,2024,,,Joint
Netflix,Rea,🎉 Entertainment,01/06/24,6,2024,-150,,Joint
Netflix,Rea,🎉 Entertainment,01/07/24,7,2024,-150,,Joint
Netflix,Rea,🎉 Entertainment,01/08/24,8,2024,-150,,Joint
Netflix,Rea,🎉 Entertainment,01/09/24,9,2024,-150,,Joint
Netflix,Rea,🎉 Entertainment,01/10/24,10,2024,-150,,Joint
Netflix,Rea,🎉 Entertainment,01/11/24,11,2024,0,,Joint
Netflix,Rea,🎉 Entertainment,01/12/24,12,2024,-89,,Joint
Port Aventura,Rea,🎉 Entertainment,01/01/24,1,2024,,,Joint
Port Aventura,Rea,🎉 Entertainment,01/02/24,2,2024,,,Joint
Port Aventura,Rea,🎉 Entertainment,01/03/24,3,2024,,,Joint
Port Aventura,Rea,🎉 Entertainment,01/05/24,5,2024,-1400,,Joint
Port Aventura,Rea,🎉 Entertainment,01/06/24,6,2024,,,Joint
Port Aventura,Rea,🎉 Entertainment,01/07/24,7,2024,,,Joint
Port Aventura,Rea,🎉 Entertainment,01/08/24,8,2024,,,Joint
Port Aventura,Rea,🎉 Entertainment,01/09/24,9,2024,,,Joint
Port Aventura,Rea,🎉 Entertainment,01/10/24,10,2024,,,Joint
Travel personal,Rea,👨 Carlos,01/11/24,11,2024,0,,Personal
Sports,Rea,🎉 Entertainment,01/01/24,1,2024,,,Joint
Sports,Rea,🎉 Entertainment,01/02/24,2,2024,,,Joint
Sports,Rea,🎉 Entertainment,01/03/24,3,2024,,,Joint
Car Service,Rea,🚗 Car,01/04/24,4,2024,-15000,Big reparation,Joint
Sports,Rea,🎉 Entertainment,01/05/24,5,2024,,,Joint
Sports,Rea,🎉 Entertainment,01/06/24,6,2024,,,Joint
Sports,Rea,🎉 Entertainment,01/07/24,7,2024,,,Joint
Sports,Rea,🎉 Entertainment,01/08/24,8,2024,,,Joint
Sports,Rea,🎉 Entertainment,01/09/24,9,2024,,,Joint
Sports,Rea,🎉 Entertainment,01/10/24,10,2024,-125,Badminton,Joint
Sports,Rea,🎉 Entertainment,01/11/24,11,2024,0,,Joint
Sports,Rea,🎉 Entertainment,01/12/24,12,2024,-120,,Joint
Subscriptions,Rea,🎉 Entertainment,01/01/24,1,2024,,,Joint
Subscriptions,Rea,🎉 Entertainment,01/02/24,2,2024,,,Joint
Subscriptions,Rea,🎉 Entertainment,01/03/24,3,2024,,,Joint
Misc,Rea,🚗 Car,01/04/24,4,2024,,,Joint
Subscriptions,Rea,🎉 Entertainment,01/05/24,5,2024,,,Joint
Subscriptions,Rea,🎉 Entertainment,01/06/24,6,2024,,,Joint
Subscriptions,Rea,🎉 Entertainment,01/07/24,7,2024,,,Joint
Subscriptions,Rea,🎉 Entertainment,01/08/24,8,2024,,,Joint
Subscriptions,Rea,🎉 Entertainment,01/09/24,9,2024,,,Joint
Subscriptions,Rea,🎉 Entertainment,01/10/24,10,2024,-50,Disney+,Joint
Subscriptions,Rea,🎉 Entertainment,01/11/24,11,2024,-45,Disney+,Joint
Subscriptions,Rea,🎉 Entertainment,01/12/24,12,2024,-52,,Joint
TV2Play,Rea,🎉 Entertainment,01/01/24,1,2024,,,Joint
TV2Play,Rea,🎉 Entertainment,01/02/24,2,2024,,,Joint
TV2Play,Rea,🎉 Entertainment,01/03/24,3,2024,,,Joint
Gasoline,Rea,🚗 Car,01/04/24,4,2024,-600,,Joint
TV2Play,Rea,🎉 Entertainment,01/05/24,5,2024,,,Joint
TV2Play,Rea,🎉 Entertainment,01/06/24,6,2024,,,Joint
TV2Play,Rea,🎉 Entertainment,01/07/24,7,2024,,,Joint
TV2Play,Rea,🎉 Entertainment,01/08/24,8,2024,,,Joint
TV2Play,Rea,🎉 Entertainment,01/09/24,9,2024,,,Joint
TV2Play,Rea,🎉 Entertainment,01/10/24,10,2024,-220,,Joint
TV2Play,Rea,🎉 Entertainment,01/11/24,11,2024,0,,Joint
Youtube,Rea,🎉 Entertainment,01/01/24,1,2024,-119,,Joint
Youtube,Rea,🎉 Entertainment,01/02/24,2,2024,-119,,Joint
Youtube,Rea,🎉 Entertainment,01/03/24,3,2024,-119,,Joint
Misc,Rea,🚗 Car,01/04/24,4,2024,,,Joint
Youtube,Rea,🎉 Entertainment,01/05/24,5,2024,-119,,Joint
Youtube,Rea,🎉 Entertainment,01/06/24,6,2024,-119,,Joint
Youtube,Rea,🎉 Entertainment,01/07/24,7,2024,-119,,Joint
Youtube,Rea,🎉 Entertainment,01/08/24,8,2024,-119,,Joint
Youtube,Rea,🎉 Entertainment,01/09/24,9,2024,-119,,Joint
Youtube,Rea,🎉 Entertainment,01/10/24,10,2024,-119,,Joint
Youtube,Rea,🎉 Entertainment,01/11/24,11,2024,-139,,Joint
Youtube,Rea,🎉 Entertainment,01/12/24,12,2024,0,,Joint
Food,Rea,🛒 Groceries,01/01/24,1,2024,-3580,,Joint
Food,Rea,🛒 Groceries,01/02/24,2,2024,-5030,,Joint
Food,Rea,🛒 Groceries,01/03/24,3,2024,-4533,,Joint
Insurance,Rea,🚗 Car,01/04/24,4,2024,-640,,Joint
Food,Rea,🛒 Groceries,01/05/24,5,2024,-5294,,Joint
Food,Rea,🛒 Groceries,01/06/24,6,2024,-7988,,Joint
Food,Rea,🛒 Groceries,01/07/24,7,2024,-5206,,Joint
Food,Rea,🛒 Groceries,01/08/24,8,2024,-5706,,Joint
Food,Rea,🛒 Groceries,01/09/24,9,2024,-5159,,Joint
Food,Rea,🛒 Groceries,01/10/24,10,2024,-6084,,Joint
Food,Rea,🛒 Groceries,01/11/24,11,2024,-4187,,Joint
Food,Rea,🛒 Groceries,01/12/24,12,2024,-5458,,Joint
Dentist,Rea,👩 Anna,01/01/24,1,2024,,,Anna
Dentist,Rea,👩 Anna,01/02/24,2,2024,,,Anna
Dentist,Rea,👩 Anna,01/03/24,3,2024,,,Anna
Akasse,Rea,👩 Anna,01/01/25,1,2025,-1500,,Anna
Dentist,Rea,👩 Anna,01/05/24,5,2024,,,Anna
Dentist,Rea,👩 Anna,01/06/24,6,2024,,,Anna
Dentist,Rea,👩 Anna,01/07/24,7,2024,,,Anna
Dentist,Rea,👩 Anna,01/08/24,8,2024,-2200,,Anna
Dentist,Rea,👩 Anna,01/09/24,9,2024,-1900,,Anna
Dentist,Rea,👩 Anna,01/10/24,10,2024,,,Anna
